site_name,vacancy_name,vacancy_link,vacancy_city,employer,employer_hh_link,min_salary,max_salary
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39037587?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО СВИФТ-РУС,https://hh.ru/employer/898068,,
HeadHunter (hh.ru),Юрисконсульт (Руководитель проверок),https://hh.ru/vacancy/39019661?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," ВСК, САО",https://hh.ru/employer/1439,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38712534?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО ЭМ ДЖИ ПИ ЛОЕРС,https://hh.ru/employer/3597939,80000.0,100000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38021502?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," Театральный музей им. А.А. Бахрушина, ФГБУК ГЦТМ",https://hh.ru/employer/3182417,,80000.0
HeadHunter (hh.ru),Старший юрист,https://hh.ru/vacancy/38291096?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО eastconsult,https://hh.ru/employer/1555551,125000.0,125000.0
HeadHunter (hh.ru),Юрист - консультант,https://hh.ru/vacancy/39039115?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ИП Кафарова Инна Николаевна,https://hh.ru/employer/4782647,60000.0,100000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39038651?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, NV GROUP,https://hh.ru/employer/579783,60000.0,
HeadHunter (hh.ru),Помощник юриста,https://hh.ru/vacancy/39048439?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Юридическая фирма Антей,https://hh.ru/employer/1242636,20000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38997299?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Факторинг Плюс,https://hh.ru/employer/4135745,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38983095?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,,,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38917066?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Стройтерминал Центр Красок,https://hh.ru/employer/85027,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38899166?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Сбербанк для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39040571?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО Издательский Дом Учительская Газета,https://hh.ru/employer/4505908,,40000.0
HeadHunter (hh.ru),Юрист первичного приёма/ помощник юриста,https://hh.ru/vacancy/38991597?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Юрист,https://hh.ru/employer/3653020,100000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39038621?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО УК ГК КОМИТА,https://hh.ru/employer/3509719,,
